epoch,lambda_sal
1.0,0.08000000000000002
2.0,0.12
3.0,0.16000000000000003
4.0,0.2
5.0,0.2
6.0,0.1999469485543742
7.0,0.19978785346919958
8.0,0.1995228924334079
9.0,0.19915236137470413
10.0,0.19867667412905274
11.0,0.19809636197847574
12.0,0.19741207305767855
13.0,0.19662457163016578
14.0,0.1957347372346567
15.0,0.1947435637027523
16.0,0.19365215804895225
17.0,0.19246173923426074
18.0,0.19117363680476238
19.0,0.18978928940668874
20.0,0.1883102431796338
21.0,0.18673815002971325
22.0,0.18507476578459572
23.0,0.18332194823246725
24.0,0.1814816550471185
25.0,0.1795559416014728
26.0,0.17754695867199657
27.0,0.17545695003655598
28.0,0.1732882499684033
29.0,0.17104328062909105
30.0,0.16872454936322626
31.0,0.16633464589808622
32.0,0.16387623945122326
33.0,0.16135207574928875
34.0,0.15876497396140657
35.0,0.15611782355052042
36.0,0.15341358104623218
37.0,0.15065526674273497
38.0,0.14784596132552968
39.0,0.14498880243069184
40.0,0.142086981140532
41.0,0.1391437384195637
42.0,0.13616236149475908
43.0,0.13314618018413524
44.0,0.1300985631777722
45.0,0.1270229142754152
46.0,0.12392266858486442
47.0,0.12080128868539736
48.0,0.117662260760509
49.0,0.11450909070428936
50.0,0.11134530020578655
51.0,0.10817442281572909
52.0,0.105
53.0,0.10182557718427095
54.0,0.09865469979421344
55.0,0.09549090929571065
56.0,0.09233773923949104
57.0,0.08919871131460265
58.0,0.08607733141513559
59.0,0.0829770857245848
60.0,0.07990143682222783
61.0,0.07685381981586478
62.0,0.07383763850524093
63.0,0.0708562615804363
64.0,0.067913018859468
65.0,0.06501119756930819
66.0,0.062154038674470315
67.0,0.059344733257265046
68.0,0.056586418953767835
69.0,0.0538821764494796
70.0,0.05123502603859345
71.0,0.04864792425071126
72.0,0.04612376054877675
73.0,0.04366535410191377
74.0,0.04127545063677379
75.0,0.038956719370908985
76.0,0.03671175003159673
77.0,0.03454304996344403
78.0,0.03245304132800347
79.0,0.030444058398527207
80.0,0.02851834495288153
81.0,0.026678051767532796
82.0,0.024925234215404282
83.0,0.023261849970286783
84.0,0.02168975682036621
85.0,0.020210710593311296
86.0,0.018826363195237634
87.0,0.017538260765739257
88.0,0.016347841951047756
89.0,0.015256436297247726
90.0,0.01426526276534332
91.0,0.013375428369834236
92.0,0.01258792694232148
93.0,0.01190363802152426
94.0,0.011323325870947287
95.0,0.010847638625295898
96.0,0.010477107566592108
97.0,0.010212146530800449
98.0,0.010053051445625813
99.0,0.01
100.0,0.01
